Timecode	Success	Fail	avgTime
2016-03-12T11:14:02	20	0	0.0450425028800964
2016-03-12T11:16:01	20	0	0.0458297610282898
2016-03-12T11:18:02	20	0	0.0479633808135986
2016-03-12T11:20:01	20	0	0.0445424914360046
2016-03-12T11:22:01	20	0	0.0475473761558533
2016-03-12T11:24:02	20	0	0.0523330092430115
2016-03-12T11:26:01	20	0	0.0453633308410645
2016-03-12T11:28:01	20	0	0.0461048722267151
2016-03-12T11:30:01	20	0	0.0450032949447632
2016-03-12T11:32:02	20	0	0.0451814413070679
2016-03-12T11:34:01	20	0	0.0443416476249695
2016-03-12T11:36:01	20	0	0.0439653038978577
2016-03-12T11:38:01	20	0	0.0458794236183167
2016-03-12T11:40:02	20	0	0.0456567525863647
2016-03-12T11:42:01	20	0	0.0464377999305725
2016-03-12T11:44:01	20	0	0.0442757129669189
2016-03-12T11:46:02	20	0	0.0441105365753174
2016-03-12T11:48:01	20	0	0.0443352699279785
2016-03-12T11:50:01	20	0	0.0458715915679932
2016-03-12T11:52:01	20	0	0.0449807047843933
2016-03-12T11:54:02	20	0	0.0471746563911438
2016-03-12T11:56:01	20	0	0.0438072443008423
2016-03-12T11:58:02	20	0	0.0443704128265381
2016-03-12T12:00:01	20	0	0.0455771565437317
2016-03-12T12:02:01	20	0	0.0449778318405151
2016-03-12T12:04:01	20	0	0.0432822108268738
2016-03-12T12:06:02	20	0	0.0439404487609863
2016-03-12T12:08:01	20	0	0.0443941116333008
2016-03-12T12:10:01	20	0	0.0468222498893738
2016-03-12T12:12:01	20	0	0.0431347966194153
2016-03-12T12:14:02	20	0	0.0446984767913818
2016-03-12T12:16:01	20	0	0.0455067157745361
2016-03-12T12:18:01	20	0	0.050846791267395
2016-03-12T12:20:02	20	0	0.043648362159729
2016-03-12T12:22:01	20	0	0.0473153710365295
2016-03-12T12:24:01	20	0	0.0577471852302551
2016-03-12T12:26:02	20	0	0.044700288772583
2016-03-12T12:28:01	20	0	0.0440934896469116
2016-03-12T12:30:01	20	0	0.0436527848243713
2016-03-12T12:32:01	20	0	0.0451599955558777
2016-03-12T12:34:02	20	0	0.0450270652770996
2016-03-12T12:36:01	20	0	0.0458667039871216
2016-03-12T12:38:01	20	0	0.0451651692390442
2016-03-12T12:40:01	20	0	0.105011606216431
2016-03-12T12:42:01	20	0	0.0459660172462463
2016-03-12T12:44:01	20	0	0.0436237335205078
2016-03-12T12:46:01	19	1	0.550391054153442
2016-03-12T12:48:01	20	0	0.0524633765220642
2016-03-12T12:50:01	20	0	0.0430431604385376
2016-03-12T12:52:01	20	0	0.0451281785964966
2016-03-12T12:54:02	20	0	0.0515115737915039
2016-03-12T12:56:01	20	0	0.0464028000831604
2016-03-12T12:58:01	20	0	0.0483678340911865
2016-03-12T13:00:02	20	0	0.0428051233291626
2016-03-12T13:02:01	20	0	0.0441624760627747
2016-03-12T13:04:01	20	0	0.0446775197982788
2016-03-12T13:06:01	20	0	0.0430905342102051
2016-03-12T13:08:02	20	0	0.0456793785095215
2016-03-12T13:10:01	20	0	0.0454201579093933
2016-03-12T13:12:01	20	0	0.0448763489723206
2016-03-12T13:14:01	20	0	0.0450925946235657
2016-03-12T13:16:02	20	0	0.0439231514930725
2016-03-12T13:18:01	20	0	0.0433806896209717
2016-03-12T13:20:01	20	0	0.0462754368782043
2016-03-12T13:22:01	20	0	0.044190502166748
2016-03-12T13:24:02	19	1	0.545830118656158
2016-03-12T13:26:01	20	0	0.0509576797485352
2016-03-12T13:28:01	20	0	0.0525660991668701
2016-03-12T13:30:02	20	0	0.0541064262390137
2016-03-12T13:32:01	20	0	0.0519503712654114
2016-03-12T13:34:02	20	0	0.0550623536109924
2016-03-12T13:36:01	20	0	0.0446201801300049
2016-03-12T13:38:01	20	0	0.0439824461936951
2016-03-12T13:40:02	20	0	0.0428558230400085
2016-03-12T13:42:02	20	0	0.0534023880958557
2016-03-12T13:44:01	20	0	0.044881534576416
2016-03-12T13:46:02	20	0	0.0448741674423218
2016-03-12T13:48:01	20	0	0.0445847392082214
2016-03-12T13:50:01	20	0	0.0447321772575378
2016-03-12T13:52:01	20	0	0.0456396341323853
2016-03-12T13:54:02	20	0	0.0441606163978577
2016-03-12T13:56:01	20	0	0.0444578289985657
2016-03-12T13:58:01	20	0	0.0454998016357422
2016-03-12T14:00:02	20	0	0.0546103239059448
2016-03-12T14:02:01	20	0	0.0454414486885071
2016-03-12T14:04:01	20	0	0.0476564049720764
2016-03-12T14:06:02	20	0	0.0465244174003601
2016-03-12T14:08:01	20	0	0.0443913102149963
2016-03-12T14:10:01	20	0	0.0453583598136902
2016-03-12T14:12:01	20	0	0.0460822701454163
2016-03-12T14:14:02	20	0	0.0450428247451782
2016-03-12T14:16:01	20	0	0.0467980265617371
2016-03-12T14:18:01	20	0	0.0538520455360413
2016-03-12T14:20:02	19	1	0.545369398593903
2016-03-12T14:22:01	20	0	0.0523685574531555
2016-03-12T14:24:01	20	0	0.0457688570022583
2016-03-12T14:26:02	19	1	0.544139218330383
2016-03-12T14:28:01	20	0	0.0437770128250122
2016-03-12T14:30:01	20	0	0.0460277199745178
2016-03-12T14:32:01	20	0	0.0578327178955078
2016-03-12T14:34:01	20	0	0.050051999092102
2016-03-12T14:36:01	20	0	0.054448401927948
2016-03-12T14:38:02	20	0	0.0443532824516296
2016-03-12T14:40:01	20	0	0.0453797101974487
2016-03-12T14:42:01	20	0	0.0516939401626587
2016-03-12T14:44:01	20	0	0.0449138760566711
2016-03-12T14:46:02	20	0	0.044155216217041
2016-03-12T14:48:01	20	0	0.0462804794311523
2016-03-12T14:50:01	20	0	0.0471333384513855
2016-03-12T14:52:02	20	0	0.051593554019928
2016-03-12T14:54:01	20	0	0.0534034609794617
2016-03-12T14:56:01	20	0	0.0471752047538757
2016-03-12T14:58:02	20	0	0.044692051410675
2016-03-12T15:00:01	20	0	0.0440074324607849
2016-03-12T15:02:01	20	0	0.0449049949645996
2016-03-12T15:04:02	20	0	0.0434868574142456
2016-03-12T15:06:01	20	0	0.0535951733589172
2016-03-12T15:08:01	20	0	0.0490549921989441
2016-03-12T15:10:01	20	0	0.0450840711593628
2016-03-12T15:12:01	20	0	0.0458420276641846
2016-03-12T15:14:01	20	0	0.0447620868682861
2016-03-12T15:16:02	20	0	0.0436063766479492
2016-03-12T15:18:01	20	0	0.0471957087516785
2016-03-12T15:20:01	20	0	0.0436330199241638
2016-03-12T15:22:01	20	0	0.0443354368209839
2016-03-12T15:24:02	20	0	0.0435575366020203
2016-03-12T15:26:01	20	0	0.046393096446991
2016-03-12T15:28:01	20	0	0.0447267651557922
2016-03-12T15:30:02	20	0	0.0501684308052063
2016-03-12T15:32:01	20	0	0.0478012204170227
2016-03-12T15:34:01	20	0	0.0466940045356751
2016-03-12T15:36:02	20	0	0.0443355560302734
2016-03-12T15:38:01	20	0	0.0458579778671265
2016-03-12T15:40:01	20	0	0.0606596112251282
2016-03-12T15:42:02	20	0	0.0436375141143799
2016-03-12T15:44:01	20	0	0.0440338253974915
2016-03-12T15:46:01	20	0	0.0535212874412537
2016-03-12T15:48:02	20	0	0.0522282004356384
2016-03-12T15:50:01	20	0	0.0457047820091248
2016-03-12T15:52:01	19	1	0.547731292247772
2016-03-12T15:54:02	20	0	0.0431979417800903
2016-03-12T15:56:01	19	1	0.549886703491211
2016-03-12T15:58:01	20	0	0.0464026927947998
2016-03-12T16:00:01	20	0	0.0445838451385498
2016-03-12T16:02:02	20	0	0.0450818657875061
2016-03-12T16:04:01	20	0	0.0441062450408936
2016-03-12T16:06:01	20	0	0.0471835374832153
2016-03-12T16:08:02	20	0	0.0467579245567322
2016-03-12T16:10:01	20	0	0.0458850264549255
2016-03-12T16:12:01	20	0	0.0451338768005371
2016-03-12T16:14:01	20	0	0.0480916976928711
2016-03-12T16:16:02	20	0	0.0446489930152893
2016-03-12T16:18:01	20	0	0.0456124782562256
2016-03-12T16:20:01	20	0	0.0439839482307434
2016-03-12T16:22:01	20	0	0.0468511819839478
2016-03-12T16:24:02	20	0	0.053330409526825
2016-03-12T16:26:01	20	0	0.0458269834518433
2016-03-12T16:28:01	20	0	0.0508220195770264
2016-03-12T16:30:02	20	0	0.0431686162948608
2016-03-12T16:32:01	20	0	0.0539045810699463
2016-03-12T16:34:01	20	0	0.0515981435775757
2016-03-12T16:36:02	20	0	0.0477485060691833
2016-03-12T16:38:01	20	0	0.0464114785194397
2016-03-12T16:40:01	20	0	0.0457931280136108
2016-03-12T16:42:02	20	0	0.0456743478775024
2016-03-12T16:44:01	20	0	0.0439963817596436
2016-03-12T16:46:01	20	0	0.0465208053588867
2016-03-12T16:48:02	20	0	0.0434104561805725
2016-03-12T16:50:01	20	0	0.0470104336738586
2016-03-12T16:52:01	20	0	0.0450346231460571
2016-03-12T16:54:01	20	0	0.0453459739685059
2016-03-12T16:56:02	20	0	0.0467107772827148
2016-03-12T16:58:01	20	0	0.0444468855857849
2016-03-12T17:00:01	20	0	0.0474532723426819
2016-03-12T17:02:02	20	0	0.0572812080383301
2016-03-12T17:04:01	20	0	0.0503260374069214
2016-03-12T17:06:01	20	0	0.0535889506340027
2016-03-12T17:08:01	20	0	0.0458440065383911
2016-03-12T17:10:01	20	0	0.0443020820617676
2016-03-12T17:12:01	20	0	0.0477624297142029
2016-03-12T17:14:02	20	0	0.046370542049408
2016-03-12T17:16:01	20	0	0.044997501373291
2016-03-12T17:18:01	20	0	0.0488087296485901
2016-03-12T17:20:02	20	0	0.0447744965553284
2016-03-12T17:22:01	20	0	0.0523022413253784
2016-03-12T17:24:01	20	0	0.0434241890907288
2016-03-12T17:26:02	20	0	0.0449294686317444
2016-03-12T17:28:01	20	0	0.140527307987213
2016-03-12T17:30:01	20	0	0.0442209839820862
2016-03-12T17:32:01	20	0	0.045884907245636
2016-03-12T17:34:02	20	0	0.0514011859893799
2016-03-12T17:36:01	20	0	0.0428799390792847
2016-03-12T17:38:01	20	0	0.0446160316467285
2016-03-12T17:40:01	20	0	0.0545392751693726
2016-03-12T17:42:01	20	0	0.0457881689071655
2016-03-12T17:44:01	20	0	0.0431729078292847
2016-03-12T17:46:01	20	0	0.0447595834732056
2016-03-12T17:48:02	20	0	0.0456771492958069
2016-03-12T17:50:01	20	0	0.0452361345291138
2016-03-12T17:52:01	20	0	0.0439681529998779
2016-03-12T17:54:01	20	0	0.0448898434638977
2016-03-12T17:56:02	20	0	0.0457388401031494
2016-03-12T17:58:01	20	0	0.0542845010757446
2016-03-12T18:00:01	20	0	0.0459511995315552
2016-03-12T18:02:02	20	0	0.0439387679100037
2016-03-12T18:04:01	20	0	0.0466264843940735
2016-03-12T18:06:01	20	0	0.0463826775550842
2016-03-12T18:08:01	20	0	0.0455168485641479
2016-03-12T18:10:02	20	0	0.0514237880706787
2016-03-12T18:12:01	20	0	0.0445919632911682
2016-03-12T18:14:01	20	0	0.0454577803611755
2016-03-12T18:16:02	20	0	0.0446918487548828
2016-03-12T18:18:01	20	0	0.044321346282959
2016-03-12T18:20:01	20	0	0.0474214315414429
2016-03-12T18:22:02	20	0	0.0462165951728821
2016-03-12T18:24:01	20	0	0.042446506023407
2016-03-12T18:26:01	20	0	0.0432704210281372
2016-03-12T18:28:01	20	0	0.0444395661354065
2016-03-12T18:30:01	20	0	0.0439708471298218
2016-03-12T18:32:02	20	0	0.0450626134872436
2016-03-12T18:34:01	20	0	0.0540390968322754
2016-03-12T18:36:01	20	0	0.0442984342575073
2016-03-12T18:38:02	20	0	0.0537700057029724
2016-03-12T18:40:01	20	0	0.0462522864341736
2016-03-12T18:42:01	20	0	0.0476159572601318
2016-03-12T18:44:02	20	0	0.0553174018859863
2016-03-12T18:46:01	20	0	0.0550763010978699
2016-03-12T18:48:02	20	0	0.0506100177764893
2016-03-12T18:50:01	20	0	0.0466351389884949
2016-03-12T18:52:01	20	0	0.0439004063606262
2016-03-12T18:54:02	20	0	0.0534936308860779
2016-03-12T18:56:01	20	0	0.0442856669425964
2016-03-12T18:58:01	20	0	0.0536784768104553
2016-03-12T19:00:02	20	0	0.0462772607803345
2016-03-12T19:02:01	20	0	0.0473740816116333
2016-03-12T19:04:01	20	0	0.0456283330917358
2016-03-12T19:06:02	20	0	0.0528500914573669
2016-03-12T19:08:01	20	0	0.054123842716217
2016-03-12T19:10:01	20	0	0.0532428383827209
2016-03-12T19:12:01	20	0	0.0448254942893982
2016-03-12T19:14:01	20	0	0.0455081462860107
2016-03-12T19:16:01	20	0	0.0447896361351013
2016-03-12T19:18:02	20	0	0.0452298164367676
2016-03-12T19:20:01	20	0	0.0445032596588135
2016-03-12T19:22:01	20	0	0.0537202000617981
2016-03-12T19:24:02	20	0	0.0430209517478943
2016-03-12T19:26:02	20	0	0.0446051478385925
2016-03-12T19:28:01	20	0	0.0845411658287048
2016-03-12T19:30:01	20	0	0.0460695147514343
2016-03-12T19:32:01	20	0	0.0446293115615845
2016-03-12T19:34:02	20	0	0.0542562961578369
2016-03-12T19:36:01	20	0	0.0548278450965881
2016-03-12T19:38:01	20	0	0.0532847762107849
2016-03-12T19:40:01	20	0	0.0433111786842346
2016-03-12T19:42:01	20	0	0.0438737392425537
2016-03-12T19:44:01	19	1	0.549737751483917
2016-03-12T19:46:02	20	0	0.050800347328186
2016-03-12T19:48:01	20	0	0.0537485003471374
2016-03-12T19:50:01	20	0	0.0450049638748169
2016-03-12T19:52:02	20	0	0.0539385914802551
2016-03-12T19:54:01	20	0	0.0460298418998718
2016-03-12T19:56:02	20	0	0.0443876028060913
2016-03-12T19:58:02	20	0	0.0457976579666138
2016-03-12T20:00:01	20	0	0.0448091983795166
2016-03-12T20:02:01	20	0	0.0494626402854919
2016-03-12T20:04:02	20	0	0.0482057094573975
2016-03-12T20:06:01	20	0	0.0456278562545776
2016-03-12T20:08:01	20	0	0.0443560600280762
2016-03-12T20:10:02	20	0	0.047347629070282
2016-03-12T20:12:01	20	0	0.0444010376930237
2016-03-12T20:14:01	20	0	0.0443350195884705
2016-03-12T20:16:02	20	0	0.0558865427970886
2016-03-12T20:18:01	20	0	0.0446315884590149
2016-03-12T20:20:01	19	1	0.545143330097199
2016-03-12T20:22:02	19	1	0.545765256881714
2016-03-12T20:24:01	20	0	0.042197835445404
2016-03-12T20:26:01	20	0	0.0445981621742249
2016-03-12T20:27:14	20	0	0.0473378300666809
2016-03-12T20:28:01	20	0	0.0467178583145142
2016-03-12T20:30:02	20	0	0.0465463280677795
2016-03-12T20:32:01	20	0	0.0444319486618042
2016-03-12T20:34:01	20	0	0.0459524512290955
2016-03-12T20:36:01	20	0	0.0452463507652283
2016-03-12T20:38:02	20	0	0.0506414532661438
2016-03-12T20:40:01	20	0	0.0443488717079163
2016-03-12T20:42:01	20	0	0.0464537501335144
2016-03-12T20:44:01	20	0	0.0464274168014526
2016-03-12T20:46:02	20	0	0.0458617091178894
2016-03-12T20:48:01	20	0	0.052598774433136
2016-03-12T20:50:01	20	0	0.0536475777626038
2016-03-12T20:52:02	20	0	0.0449148058891296
2016-03-12T20:54:01	20	0	0.0437184691429138
2016-03-12T20:56:01	20	0	0.0454825758934021
2016-03-12T20:58:01	20	0	0.0481295466423035
2016-03-12T21:00:02	20	0	0.0445450901985168
2016-03-12T21:02:01	20	0	0.0482086181640625
2016-03-12T21:04:01	20	0	0.044270932674408
2016-03-12T21:06:01	20	0	0.0513885021209717
2016-03-12T21:08:02	20	0	0.045393443107605
2016-03-12T21:10:01	20	0	0.0439301371574402
2016-03-12T21:12:01	20	0	0.0553250193595886
2016-03-12T21:14:02	20	0	0.045106315612793
2016-03-12T21:16:02	20	0	0.0562314748764038
2016-03-12T21:18:01	20	0	0.0459843635559082
2016-03-12T21:20:01	20	0	0.0464966177940369
2016-03-12T21:22:02	20	0	0.0508554816246033
2016-03-12T21:24:01	20	0	0.0860664844512939
2016-03-12T21:26:01	20	0	0.0557231903076172
2016-03-12T21:28:02	20	0	0.0472906231880188
2016-03-12T21:30:02	20	0	0.0489224791526794
2016-03-12T21:32:01	20	0	0.0454322934150696
2016-03-12T21:34:01	20	0	0.0463959813117981
2016-03-12T21:36:02	20	0	0.04778653383255
2016-03-12T21:38:01	20	0	0.044788134098053
2016-03-12T21:40:01	20	0	0.0454855799674988
2016-03-12T21:42:01	20	0	0.0533241271972656
2016-03-12T21:44:02	20	0	0.0444005250930786
2016-03-12T21:46:01	20	0	0.0461176753044128
2016-03-12T21:48:01	20	0	0.0536273121833801
2016-03-12T21:50:01	20	0	0.0452143311500549
2016-03-12T21:52:02	20	0	0.0449366569519043
2016-03-12T21:54:01	19	1	0.545490717887878
2016-03-12T21:56:01	20	0	0.0476683616638184
2016-03-12T21:58:02	19	1	1.51311527490616
2016-03-12T22:00:01	20	0	0.0464695334434509
2016-03-12T22:02:02	20	0	0.0443994402885437
2016-03-12T22:04:01	20	0	0.0460528016090393
2016-03-12T22:06:01	20	0	0.0455312490463257
2016-03-12T22:08:01	20	0	0.0454871535301209
2016-03-12T22:10:01	20	0	0.0458617568016052
2016-03-12T22:12:02	20	0	0.0431143045425415
2016-03-12T22:14:01	20	0	0.0450744986534119
2016-03-12T22:16:01	20	0	0.0437124133110046
2016-03-12T22:18:01	20	0	0.0466364502906799
2016-03-12T22:20:01	20	0	0.0437878608703613
2016-03-12T22:22:02	20	0	0.0467043042182922
2016-03-12T22:24:01	20	0	0.0452455639839172
2016-03-12T22:26:01	20	0	0.0479012608528137
2016-03-12T22:28:01	20	0	0.0467168569564819
2016-03-12T22:30:02	20	0	0.0553134560585022
2016-03-12T22:32:01	20	0	0.0445827126502991
2016-03-12T22:34:01	20	0	0.0495227694511414
2016-03-12T22:36:01	20	0	0.0436525702476501
2016-03-12T22:38:02	20	0	0.0454141855239868
2016-03-12T22:40:01	20	0	0.0486982226371765
2016-03-12T22:42:01	20	0	0.0466556429862976
2016-03-12T22:44:01	20	0	0.0464426398277283
2016-03-12T22:46:02	20	0	0.0437767505645752
2016-03-12T22:48:01	20	0	0.0457485795021057
2016-03-12T22:50:01	20	0	0.0426043033599854
2016-03-12T22:52:01	20	0	0.0440821766853332
2016-03-12T22:54:02	19	1	0.543130719661713
2016-03-12T22:56:02	20	0	0.0435300350189209
2016-03-12T22:58:01	20	0	0.0563291668891907
2016-03-12T23:00:01	20	0	0.0433328509330749
2016-03-12T23:02:02	20	0	0.0439384579658508
2016-03-12T23:04:02	20	0	0.0449393510818481
2016-03-12T23:06:01	19	1	0.551376497745514
2016-03-12T23:08:01	20	0	0.0439202666282654
2016-03-12T23:10:01	20	0	0.0489439964294434
2016-03-12T23:12:02	20	0	0.0414800763130188
2016-03-12T23:14:01	20	0	0.0451842904090881
2016-03-12T23:16:01	20	0	0.0449572086334229
2016-03-12T23:18:01	20	0	0.0524586915969849
2016-03-12T23:20:02	20	0	0.0443577527999878
2016-03-12T23:22:01	20	0	0.0430903911590576
2016-03-12T23:24:01	20	0	0.0442514181137085
2016-03-12T23:26:01	20	0	0.0450093150138855
2016-03-12T23:28:01	20	0	0.0439537763595581
2016-03-12T23:30:02	20	0	0.0448816299438477
2016-03-12T23:32:02	20	0	0.0442700028419495
2016-03-12T23:34:01	20	0	0.0454349398612976
2016-03-12T23:36:01	20	0	0.0454083681106567
2016-03-12T23:38:01	20	0	0.0442109346389771
2016-03-12T23:40:02	20	0	0.0510754942893982
2016-03-12T23:42:01	20	0	0.0469127058982849
2016-03-12T23:44:04	20	0	0.0470578551292419
2016-03-12T23:46:02	20	0	0.0469569087028503
2016-03-12T23:48:01	20	0	0.0543087363243103
2016-03-12T23:50:01	20	0	0.044247031211853
2016-03-12T23:52:02	20	0	0.0496330618858337
2016-03-12T23:54:01	20	0	0.0440029263496399
2016-03-12T23:56:01	20	0	0.0603746056556702
2016-03-12T23:58:01	20	0	0.0439285635948181
2016-03-13T00:00:01	20	0	0.0467392802238464
2016-03-13T00:02:01	20	0	0.0472833752632141
2016-03-13T00:04:01	20	0	0.0472557783126831
2016-03-13T00:06:02	20	0	0.0436743140220642
2016-03-13T00:08:01	20	0	0.0450858950614929
2016-03-13T00:10:01	20	0	0.0427614450454712
2016-03-13T00:12:01	20	0	0.0449415445327759
2016-03-13T00:14:01	20	0	0.0454228401184082
2016-03-13T00:16:02	20	0	0.0507576942443848
2016-03-13T00:18:01	20	0	0.043776261806488
2016-03-13T00:20:01	20	0	0.0437788963317871
2016-03-13T00:22:01	20	0	0.0431620359420776
2016-03-13T00:24:02	20	0	0.0506973743438721
2016-03-13T00:26:01	20	0	0.0436673283576965
2016-03-13T00:28:01	20	0	0.0442878723144531
2016-03-13T00:30:01	20	0	0.0504199981689453
2016-03-13T00:32:02	20	0	0.0434978723526001
2016-03-13T00:34:02	19	1	0.546671557426453
2016-03-13T00:36:01	20	0	0.0449965476989746
2016-03-13T00:38:01	20	0	0.0411893606185913
2016-03-13T00:40:01	20	0	0.053225827217102
2016-03-13T00:42:02	20	0	0.0436914443969727
2016-03-13T00:44:01	20	0	0.0436321258544922
2016-03-13T00:46:01	20	0	0.0550010204315186
2016-03-13T00:48:02	20	0	0.0438523411750793
2016-03-13T00:50:01	20	0	0.0442054390907288
2016-03-13T00:52:01	20	0	0.0458003282546997
2016-03-13T00:54:01	20	0	0.0453677892684936
2016-03-13T00:56:01	20	0	0.0460460782051086
2016-03-13T00:58:02	20	0	0.046432089805603
2016-03-13T01:00:01	20	0	0.0452278017997742
2016-03-13T01:02:01	20	0	0.0443258881568909
2016-03-13T01:04:01	20	0	0.0449370861053467
2016-03-13T01:06:02	20	0	0.0445886135101318
2016-03-13T01:08:01	20	0	0.044415271282196
2016-03-13T01:10:01	20	0	0.0521415829658508
2016-03-13T01:12:01	20	0	0.0438089370727539
2016-03-13T01:14:02	20	0	0.0450611591339111
2016-03-13T01:16:01	20	0	0.0455412626266479
2016-03-13T01:18:01	20	0	0.0447405338287354
2016-03-13T01:20:01	20	0	0.043643581867218
2016-03-13T01:22:01	20	0	0.0439521670341492
2016-03-13T01:24:02	20	0	0.0490615129470825
2016-03-13T01:26:01	20	0	0.0457934021949768
2016-03-13T01:28:01	20	0	0.0552353858947754
2016-03-13T01:30:02	20	0	0.0452445030212402
2016-03-13T01:32:02	20	0	0.0457045197486877
2016-03-13T01:34:01	20	0	0.0458317518234253
2016-03-13T01:36:01	20	0	0.0439005374908447
2016-03-13T01:38:02	20	0	0.0445466160774231
2016-03-13T01:40:01	20	0	0.0448254704475403
2016-03-13T01:42:01	19	1	0.545522856712341
2016-03-13T01:44:01	20	0	0.0453670978546143
2016-03-13T01:46:02	20	0	0.0446161031723022
2016-03-13T01:48:02	20	0	0.0435039758682251
2016-03-13T01:50:01	20	0	0.043613064289093
2016-03-13T01:52:01	20	0	0.0448039293289185
2016-03-13T01:54:01	20	0	0.0471070885658264
2016-03-13T01:56:02	20	0	0.0453641891479492
2016-03-13T01:58:01	20	0	0.0445062875747681
2016-03-13T03:00:01	20	0	0.0425127625465393
2016-03-13T03:02:01	20	0	0.0440940737724304
2016-03-13T03:04:02	20	0	0.0538584589958191
2016-03-13T03:06:01	20	0	0.0427387475967407
2016-03-13T03:08:01	20	0	0.0442474484443665
2016-03-13T03:10:01	20	0	0.0442277908325195
2016-03-13T03:12:02	20	0	0.0426886558532715
2016-03-13T03:14:02	20	0	0.0433798432350159
2016-03-13T03:16:01	20	0	0.0460164785385132
2016-03-13T03:18:01	20	0	0.0434800505638123
2016-03-13T03:20:01	20	0	0.0453156590461731
2016-03-13T03:22:01	20	0	0.0431083798408508
2016-03-13T03:24:02	20	0	0.0516145467758179
2016-03-13T03:26:01	20	0	0.0456508874893189
2016-03-13T03:28:01	20	0	0.046120011806488
2016-03-13T03:30:03	20	0	0.0520184993743896
2016-03-13T03:32:02	20	0	0.0452381253242493
2016-03-13T03:34:01	20	0	0.0447507619857788
2016-03-13T03:36:01	20	0	0.0439638018608093
2016-03-13T03:38:01	20	0	0.0548696994781494
2016-03-13T03:40:02	20	0	0.0469006776809692
2016-03-13T03:42:01	20	0	0.0441461086273193
2016-03-13T03:44:01	20	0	0.0467788219451904
2016-03-13T03:46:01	20	0	0.0452685594558716
2016-03-13T03:48:02	20	0	0.0511913061141968
2016-03-13T03:50:01	20	0	0.0458338975906372
2016-03-13T03:52:01	20	0	0.0443763613700867
2016-03-13T03:54:01	20	0	0.0450172543525696
2016-03-13T03:56:02	20	0	0.0440648317337036
2016-03-13T03:58:01	20	0	0.0439689874649048
2016-03-13T04:00:01	20	0	0.0434412121772766
2016-03-13T04:02:02	20	0	0.0428489685058594
2016-03-13T04:04:02	20	0	0.0462110877037048
2016-03-13T04:06:01	20	0	0.0444678068161011
2016-03-13T04:08:01	20	0	0.0440039038658142
2016-03-13T04:10:01	20	0	0.0475328326225281
2016-03-13T04:12:02	20	0	0.0435945987701416
2016-03-13T04:14:01	20	0	0.0430885076522827
2016-03-13T04:16:01	20	0	0.0427613377571106
2016-03-13T04:18:01	20	0	0.055949878692627
2016-03-13T04:20:01	20	0	0.0422022938728333
2016-03-13T04:22:02	20	0	0.0437873959541321
2016-03-13T04:24:01	20	0	0.0443844318389893
2016-03-13T04:26:01	20	0	0.0429860949516296
2016-03-13T04:28:01	20	0	0.0447970509529114
2016-03-13T04:30:01	20	0	0.0456268668174744
2016-03-13T04:32:02	20	0	0.0435867667198181
2016-03-13T04:34:02	20	0	0.0452814221382141
2016-03-13T04:36:01	20	0	0.045625901222229
2016-03-13T04:38:01	20	0	0.0445345640182495
2016-03-13T04:40:01	20	0	0.0433749675750732
2016-03-13T04:42:02	20	0	0.0439020037651062
2016-03-13T04:44:02	20	0	0.0437047839164734
2016-03-13T04:46:01	20	0	0.0444666028022766
2016-03-13T04:48:01	20	0	0.0434816598892212
2016-03-13T04:50:02	20	0	0.0427764177322388
2016-03-13T04:52:02	20	0	0.043194043636322
2016-03-13T04:54:01	20	0	0.0421844244003296
2016-03-13T04:56:01	20	0	0.0442320227622986
2016-03-13T04:58:01	20	0	0.0422356367111206
2016-03-13T05:00:01	20	0	0.0442447781562805
2016-03-13T05:02:02	20	0	0.0447613954544067
2016-03-13T05:04:01	20	0	0.0442191481590271
2016-03-13T05:06:01	20	0	0.0449717044830322
2016-03-13T05:08:01	20	0	0.0434967637062073
2016-03-13T05:10:01	20	0	0.0518163681030273
2016-03-13T05:12:01	20	0	0.0453211069107056
2016-03-13T05:14:01	20	0	0.0429832816123962
2016-03-13T05:16:01	20	0	0.0420454859733582
2016-03-13T05:18:01	20	0	0.0426471948623657
